               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11763,            0.028877,            0.051946,               0.002,                0.04,           0.0019918,          0.00019918,             0.10797,            0.022678,            0.051033,              0.0901,              0.0011,              0.0011
                   1,             0.10468,            0.024706,            0.050852,          0.00065789,                0.04,           0.0041664,          0.00093216,            0.089601,            0.018037,             0.04908,            0.079278,           0.0022783,           0.0022783
                   2,            0.096176,            0.021897,            0.049097,          0.00056961,             0.15333,           0.0010412,          0.00017717,            0.083812,            0.014573,            0.046864,            0.068434,            0.003434,            0.003434
                   3,             0.08552,            0.019863,             0.04628,            0.001479,                0.38,           0.0057055,           0.0014515,            0.075879,            0.012671,             0.04681,            0.057567,           0.0045671,           0.0045671
                   4,            0.082416,            0.018616,             0.04531,           0.0019346,             0.57333,            0.070179,             0.01671,            0.070647,            0.011886,            0.046353,            0.046677,           0.0056775,           0.0056775
                   5,            0.077567,               0.018,            0.045344,           0.0026934,             0.66667,            0.017756,           0.0043689,            0.089941,           0.0089589,            0.045556,            0.035765,           0.0067653,           0.0067653
                   6,            0.072966,            0.017819,            0.044147,           0.0036948,             0.92667,             0.11817,            0.033467,            0.064427,            0.010101,            0.044541,             0.02483,           0.0078305,           0.0078305
                   7,            0.071577,            0.017874,            0.044663,           0.0038685,             0.92667,            0.060495,            0.014015,             0.08236,           0.0077322,            0.044343,            0.013873,            0.008873,            0.008873
                   8,            0.069823,            0.017226,            0.044347,           0.0037997,                0.96,             0.10213,            0.032072,            0.061634,           0.0090971,            0.043978,           0.0092457,           0.0092457,           0.0092457
                   9,            0.063171,            0.018533,            0.043306,           0.0038197,                   1,             0.23634,            0.072912,            0.068916,           0.0081883,            0.043052,           0.0092457,           0.0092457,           0.0092457
                  10,            0.062617,            0.018495,            0.042643,             0.34739,              0.5135,             0.30656,               0.134,            0.057216,           0.0086324,            0.042092,           0.0091514,           0.0091514,           0.0091514
                  11,            0.057643,            0.017673,             0.04262,            0.040027,            0.059414,             0.12682,            0.037052,            0.063021,           0.0089048,            0.040765,           0.0090571,           0.0090571,           0.0090571
                  12,             0.05697,            0.017152,            0.039564,             0.36704,             0.41432,             0.36918,             0.15934,            0.051393,           0.0092075,            0.038886,           0.0089629,           0.0089629,           0.0089629
                  13,            0.055045,            0.016465,            0.038657,             0.14957,             0.27333,             0.23606,            0.084961,            0.052678,           0.0088743,            0.037127,           0.0088686,           0.0088686,           0.0088686
                  14,            0.050535,            0.014997,            0.038249,             0.37891,                0.44,              0.4656,             0.18565,            0.052804,           0.0079799,            0.035131,           0.0087743,           0.0087743,           0.0087743
                  15,            0.051064,            0.015976,            0.036212,             0.52679,             0.46667,             0.57049,             0.23574,            0.046605,           0.0078315,            0.032978,             0.00868,             0.00868,             0.00868
                  16,            0.048905,            0.015662,            0.035576,             0.73649,             0.47779,              0.5549,             0.23986,            0.048321,           0.0073717,            0.030716,           0.0085857,           0.0085857,           0.0085857
                  17,            0.050155,               0.015,            0.032699,             0.57528,             0.50868,             0.59206,             0.20333,            0.046689,           0.0073512,            0.028129,           0.0084914,           0.0084914,           0.0084914
                  18,            0.048257,            0.013526,            0.031754,              0.6491,             0.52653,             0.68638,             0.32803,            0.044862,           0.0067726,            0.026207,           0.0083971,           0.0083971,           0.0083971
                  19,            0.050875,            0.012984,            0.029801,             0.43441,             0.56638,             0.52683,             0.22267,            0.046223,           0.0064447,            0.025895,           0.0083029,           0.0083029,           0.0083029
                  20,            0.048323,            0.011614,            0.027808,              0.5576,             0.65401,             0.69322,             0.30922,            0.045729,             0.00621,            0.024029,           0.0082086,           0.0082086,           0.0082086
                  21,            0.047569,            0.012844,            0.026562,             0.63323,             0.64953,             0.72763,             0.27283,            0.043341,           0.0061156,            0.022694,           0.0081143,           0.0081143,           0.0081143
                  22,            0.045299,            0.011418,            0.025122,             0.62231,             0.71027,             0.77329,             0.32412,            0.043745,           0.0059044,            0.021025,             0.00802,             0.00802,             0.00802
                  23,             0.04341,            0.011217,            0.024304,             0.67717,              0.5277,             0.66895,             0.29746,            0.043409,           0.0056788,            0.020246,           0.0079257,           0.0079257,           0.0079257
                  24,            0.045128,            0.010612,            0.022331,             0.67699,             0.58273,             0.68288,             0.28982,             0.04805,           0.0054689,             0.01963,           0.0078314,           0.0078314,           0.0078314
                  25,            0.045383,            0.011963,            0.021493,             0.73079,             0.60283,             0.79939,             0.42703,            0.040571,           0.0054364,            0.016976,           0.0077371,           0.0077371,           0.0077371
                  26,            0.043373,            0.011123,            0.018707,             0.67117,             0.61678,             0.64072,              0.2637,            0.044275,           0.0053926,            0.015721,           0.0076429,           0.0076429,           0.0076429
                  27,            0.043499,           0.0099336,             0.01675,             0.89498,             0.71479,             0.84392,              0.4506,            0.039359,           0.0052167,            0.014431,           0.0075486,           0.0075486,           0.0075486
                  28,            0.044117,            0.010395,            0.017426,             0.66752,             0.70201,             0.75552,              0.3411,            0.045471,           0.0051626,            0.014389,           0.0074543,           0.0074543,           0.0074543
                  29,            0.041419,            0.010059,            0.016086,             0.68737,             0.93405,             0.86351,             0.47114,            0.037905,           0.0050767,            0.012737,             0.00736,             0.00736,             0.00736
                  30,            0.041497,           0.0088561,            0.013849,             0.75556,             0.79833,             0.87727,             0.45629,             0.03908,            0.005024,            0.011609,           0.0072657,           0.0072657,           0.0072657
                  31,            0.039845,           0.0089434,            0.013001,             0.69765,             0.86186,             0.76735,             0.39934,            0.043458,           0.0047918,            0.011393,           0.0071714,           0.0071714,           0.0071714
                  32,            0.042342,           0.0088572,            0.010781,             0.76596,             0.83443,             0.88057,             0.45657,             0.03959,            0.004763,            0.010346,           0.0070771,           0.0070771,           0.0070771
                  33,            0.041168,           0.0087819,            0.010588,             0.68805,             0.87936,             0.85781,             0.41735,            0.038987,            0.004907,           0.0096541,           0.0069829,           0.0069829,           0.0069829
                  34,            0.040284,           0.0079361,           0.0086314,             0.76562,              0.8823,             0.88757,             0.48757,            0.035633,           0.0049414,           0.0091204,           0.0068886,           0.0068886,           0.0068886
                  35,            0.038906,           0.0089458,           0.0083624,             0.74058,             0.84578,             0.89782,             0.48791,            0.040324,           0.0048191,           0.0084354,           0.0067943,           0.0067943,           0.0067943
                  36,            0.038954,           0.0084827,           0.0079395,             0.72571,             0.91252,             0.95271,             0.49206,            0.035669,           0.0048271,           0.0073041,              0.0067,              0.0067,              0.0067
                  37,            0.038436,           0.0082184,           0.0073803,              0.8282,             0.81392,             0.93471,             0.42081,            0.036647,           0.0047648,           0.0081513,           0.0066057,           0.0066057,           0.0066057
                  38,            0.038296,           0.0083703,           0.0066072,             0.86547,             0.81732,             0.94067,             0.52112,            0.036822,           0.0047187,           0.0068624,           0.0065114,           0.0065114,           0.0065114
                  39,            0.038763,           0.0078847,           0.0064718,             0.91205,             0.88314,              0.9769,             0.45952,            0.036782,           0.0046327,           0.0066316,           0.0064171,           0.0064171,           0.0064171
                  40,            0.037647,           0.0083265,            0.006326,             0.91389,             0.85137,             0.94933,             0.50264,            0.035375,           0.0044628,           0.0083557,           0.0063229,           0.0063229,           0.0063229
                  41,            0.036006,           0.0077732,           0.0060012,             0.81027,             0.92339,             0.94167,             0.52039,            0.035732,           0.0044653,           0.0087491,           0.0062286,           0.0062286,           0.0062286
                  42,            0.035116,           0.0081752,            0.006162,             0.84165,             0.94785,               0.959,             0.52566,            0.035384,           0.0042866,           0.0073662,           0.0061343,           0.0061343,           0.0061343
                  43,               0.036,           0.0076788,           0.0045517,             0.89484,             0.96962,             0.99043,             0.58807,            0.034434,           0.0041947,           0.0054831,             0.00604,             0.00604,             0.00604
                  44,            0.035766,           0.0073869,            0.004809,             0.87362,             0.90581,               0.955,             0.51863,            0.033454,           0.0040892,            0.005091,           0.0059457,           0.0059457,           0.0059457
                  45,            0.035181,           0.0076264,           0.0042617,              0.9601,             0.92069,             0.98357,             0.54689,            0.034475,           0.0041114,           0.0044514,           0.0058514,           0.0058514,           0.0058514
                  46,            0.034884,           0.0071319,           0.0044426,             0.87066,             0.92642,             0.96257,             0.59425,            0.031525,           0.0041248,           0.0044156,           0.0057571,           0.0057571,           0.0057571
                  47,            0.032969,           0.0072769,           0.0044918,             0.84383,             0.89605,               0.955,             0.49921,            0.037061,           0.0041843,            0.004676,           0.0056629,           0.0056629,           0.0056629
                  48,            0.033144,           0.0073379,           0.0041873,             0.94878,             0.92454,             0.97167,             0.58777,            0.032117,            0.004206,           0.0047644,           0.0055686,           0.0055686,           0.0055686
                  49,            0.032503,           0.0069371,           0.0047192,             0.93297,             0.92419,              0.9619,              0.5392,            0.033164,           0.0043226,           0.0045218,           0.0054743,           0.0054743,           0.0054743
                  50,            0.032523,           0.0074222,           0.0041412,             0.95064,             0.91657,             0.95157,             0.57593,            0.033213,           0.0042479,            0.004388,             0.00538,             0.00538,             0.00538
                  51,             0.03084,           0.0066698,           0.0041692,             0.88011,                0.88,             0.93276,             0.55387,            0.033484,           0.0043514,           0.0042899,           0.0052857,           0.0052857,           0.0052857
                  52,            0.031919,           0.0079444,           0.0038767,             0.95564,             0.89821,             0.96929,             0.58091,            0.032863,           0.0041568,           0.0041878,           0.0051914,           0.0051914,           0.0051914
                  53,            0.031038,           0.0079538,           0.0042796,             0.95808,             0.89853,             0.97333,             0.56769,            0.033709,           0.0040807,           0.0037121,           0.0050971,           0.0050971,           0.0050971
                  54,            0.031262,           0.0069637,           0.0038055,             0.96154,             0.87402,             0.98167,              0.6223,            0.031615,           0.0040081,           0.0049693,           0.0050029,           0.0050029,           0.0050029
                  55,            0.028958,           0.0069497,           0.0032114,             0.91541,             0.91157,              0.9769,             0.60112,            0.029612,           0.0039676,           0.0066933,           0.0049086,           0.0049086,           0.0049086
                  56,            0.029965,           0.0070883,           0.0031708,             0.90395,             0.98069,             0.98833,             0.56093,            0.032927,           0.0039808,           0.0059223,           0.0048143,           0.0048143,           0.0048143
                  57,            0.031085,           0.0072126,           0.0029124,             0.87639,             0.99089,               0.975,              0.6211,             0.02864,           0.0038867,           0.0053918,             0.00472,             0.00472,             0.00472
                  58,             0.02913,            0.007056,           0.0030466,             0.88116,             0.95665,             0.94357,             0.56912,             0.03017,           0.0038538,           0.0083516,           0.0046257,           0.0046257,           0.0046257
                  59,            0.029955,           0.0073763,           0.0031138,             0.87587,             0.95267,               0.955,             0.60532,            0.029291,           0.0038438,           0.0075444,           0.0045314,           0.0045314,           0.0045314
                  60,            0.028484,           0.0072075,           0.0029216,             0.90039,             0.96569,             0.98833,             0.58444,            0.030756,           0.0038462,           0.0049384,           0.0044371,           0.0044371,           0.0044371
                  61,            0.027673,           0.0061856,           0.0031559,             0.91063,             0.97597,               0.995,              0.6166,            0.030068,           0.0037755,           0.0037726,           0.0043429,           0.0043429,           0.0043429
                  62,            0.028383,           0.0067201,           0.0029415,             0.91009,             0.98474,               0.995,              0.6252,            0.030139,            0.003706,           0.0031653,           0.0042486,           0.0042486,           0.0042486
                  63,            0.027714,           0.0068577,           0.0028133,             0.94583,             0.97963,               0.995,             0.62421,            0.029586,           0.0036747,           0.0029634,           0.0041543,           0.0041543,           0.0041543
                  64,            0.027282,           0.0065816,            0.002797,             0.95662,             0.97761,               0.995,             0.60356,            0.031003,           0.0037262,           0.0029491,             0.00406,             0.00406,             0.00406
                  65,             0.02676,           0.0061919,           0.0028783,             0.95438,             0.98337,               0.995,             0.62852,            0.029699,           0.0036704,            0.002917,           0.0039657,           0.0039657,           0.0039657
                  66,            0.027602,            0.006503,           0.0027621,             0.95763,             0.98173,               0.995,             0.60225,            0.029972,           0.0036944,           0.0028423,           0.0038714,           0.0038714,           0.0038714
                  67,            0.026495,           0.0069741,           0.0026695,             0.96452,             0.97268,               0.995,             0.62727,             0.02895,           0.0037419,           0.0027706,           0.0037771,           0.0037771,           0.0037771
                  68,            0.025558,           0.0068222,           0.0024372,             0.97531,             0.97773,               0.995,              0.6395,            0.027828,           0.0037419,           0.0030698,           0.0036829,           0.0036829,           0.0036829
                  69,            0.025289,           0.0061676,           0.0026237,             0.92979,             0.93492,             0.98376,              0.6111,            0.030927,           0.0037341,           0.0045026,           0.0035886,           0.0035886,           0.0035886
                  70,            0.025018,           0.0067416,           0.0024762,             0.88145,             0.94981,               0.971,             0.61826,            0.029699,           0.0036819,            0.007349,           0.0034943,           0.0034943,           0.0034943
                  71,            0.026112,            0.006571,           0.0021239,             0.87052,             0.94955,              0.9622,             0.63078,            0.029385,           0.0037219,           0.0080615,              0.0034,              0.0034,              0.0034
                  72,            0.023916,           0.0060023,           0.0026597,             0.86164,             0.94812,             0.95477,             0.62579,            0.028218,           0.0037005,           0.0078623,           0.0033057,           0.0033057,           0.0033057
                  73,             0.02484,           0.0061465,           0.0023135,             0.86427,             0.93168,              0.9729,             0.64386,             0.02768,           0.0036886,           0.0072856,           0.0032114,           0.0032114,           0.0032114
                  74,            0.025488,           0.0062722,           0.0020843,             0.89803,             0.93446,             0.98357,             0.61249,            0.029776,           0.0036972,           0.0064192,           0.0031171,           0.0031171,           0.0031171
                  75,            0.024557,           0.0060392,           0.0024746,              0.8851,             0.93942,             0.98357,             0.61157,            0.028773,           0.0037037,           0.0059573,           0.0030229,           0.0030229,           0.0030229
                  76,            0.023659,           0.0063229,           0.0021435,             0.89926,             0.92493,             0.98833,             0.63528,            0.028242,           0.0036562,           0.0053583,           0.0029286,           0.0029286,           0.0029286
                  77,            0.023197,           0.0063436,           0.0021606,             0.88726,             0.93924,             0.98833,             0.62663,             0.02813,           0.0036087,           0.0047134,           0.0028343,           0.0028343,           0.0028343
                  78,            0.022982,           0.0064834,           0.0021316,             0.89134,             0.96725,             0.98833,             0.65052,            0.027795,            0.003664,           0.0036429,             0.00274,             0.00274,             0.00274
                  79,            0.022757,           0.0058991,           0.0021325,             0.89039,             0.98724,             0.98833,             0.65785,            0.026846,           0.0036757,           0.0029391,           0.0026457,           0.0026457,           0.0026457
                  80,            0.021069,           0.0056461,           0.0019444,             0.89036,             0.99154,               0.995,             0.64625,            0.027472,            0.003688,           0.0026174,           0.0025514,           0.0025514,           0.0025514
                  81,            0.022185,            0.005808,           0.0019681,             0.89648,             0.99076,               0.995,             0.65641,            0.027208,           0.0036721,           0.0025798,           0.0024571,           0.0024571,           0.0024571
                  82,            0.022399,           0.0062305,              0.0018,             0.89956,             0.98924,               0.995,             0.66155,            0.027294,           0.0037409,           0.0024824,           0.0023629,           0.0023629,           0.0023629
                  83,            0.020733,           0.0057516,            0.001642,             0.90797,             0.98536,               0.995,             0.67423,            0.027104,           0.0037454,           0.0023663,           0.0022686,           0.0022686,           0.0022686
                  84,            0.020928,           0.0059122,           0.0016493,             0.91371,             0.98378,               0.995,             0.67313,            0.028042,            0.003739,           0.0023935,           0.0021743,           0.0021743,           0.0021743
                  85,            0.021272,           0.0061565,           0.0025099,             0.92278,             0.99093,               0.995,             0.65047,            0.027734,           0.0036849,           0.0023736,             0.00208,             0.00208,             0.00208
                  86,            0.021127,            0.006142,           0.0016174,             0.92954,             0.99714,               0.995,             0.64126,            0.026796,           0.0035794,            0.002419,           0.0019857,           0.0019857,           0.0019857
                  87,             0.02084,           0.0056815,           0.0016323,             0.92835,                   1,               0.995,             0.68599,            0.025771,           0.0035678,           0.0023266,           0.0018914,           0.0018914,           0.0018914
                  88,            0.020857,           0.0062583,           0.0018751,             0.92913,                   1,               0.995,              0.6933,            0.026175,           0.0035496,           0.0022754,           0.0017971,           0.0017971,           0.0017971
                  89,            0.019782,           0.0059328,           0.0015825,             0.94744,             0.99772,               0.995,             0.67546,            0.026472,             0.00358,           0.0020859,           0.0017029,           0.0017029,           0.0017029
                  90,            0.019783,           0.0059538,           0.0014818,             0.95018,             0.99828,               0.995,             0.69875,            0.025712,           0.0035455,           0.0019821,           0.0016086,           0.0016086,           0.0016086
                  91,            0.019797,           0.0061115,            0.001457,             0.95028,             0.99971,               0.995,             0.69439,            0.024877,           0.0035546,           0.0020283,           0.0015143,           0.0015143,           0.0015143
                  92,            0.020258,           0.0056873,           0.0016554,              0.9508,             0.99268,               0.995,             0.69664,            0.024939,           0.0035305,           0.0019199,             0.00142,             0.00142,             0.00142
                  93,            0.019136,           0.0056995,           0.0013733,             0.94727,             0.98888,               0.995,             0.68264,            0.025258,           0.0035261,           0.0019026,           0.0013257,           0.0013257,           0.0013257
                  94,            0.018852,           0.0059223,           0.0014042,             0.94513,             0.98897,               0.995,             0.66485,            0.025471,           0.0035355,           0.0018599,           0.0012314,           0.0012314,           0.0012314
                  95,            0.019167,           0.0055911,           0.0016341,             0.94186,             0.99256,               0.995,             0.68854,            0.024939,            0.003548,           0.0016621,           0.0011371,           0.0011371,           0.0011371
                  96,             0.01864,           0.0055644,           0.0013146,             0.93795,             0.99014,               0.995,             0.68511,            0.025096,           0.0035463,           0.0015601,           0.0010429,           0.0010429,           0.0010429
                  97,             0.01756,           0.0054039,           0.0013334,             0.93986,             0.99015,               0.995,             0.67411,            0.026147,           0.0035567,           0.0015978,          0.00094857,          0.00094857,          0.00094857
                  98,            0.018525,           0.0057667,           0.0014116,             0.94216,             0.98869,               0.995,             0.67949,            0.025915,           0.0035823,            0.001664,          0.00085429,          0.00085429,          0.00085429
                  99,             0.01803,           0.0058382,           0.0012029,             0.95243,             0.98161,               0.995,             0.68937,            0.025942,           0.0035544,           0.0016246,             0.00076,             0.00076,             0.00076
                 100,            0.017767,           0.0054501,           0.0011334,             0.96533,             0.97057,               0.995,             0.68224,            0.025844,           0.0035664,           0.0016138,          0.00066571,          0.00066571,          0.00066571
                 101,            0.018527,           0.0052735,           0.0013558,             0.96116,             0.97727,               0.995,             0.69458,            0.025846,           0.0035528,           0.0015948,          0.00057143,          0.00057143,          0.00057143
                 102,            0.018343,           0.0058699,           0.0013092,             0.95839,             0.98038,               0.995,             0.68151,            0.025768,           0.0035591,           0.0016275,          0.00047714,          0.00047714,          0.00047714
                 103,            0.017803,           0.0058491,           0.0012781,             0.95449,             0.98659,               0.995,             0.67801,            0.025923,           0.0035603,           0.0015343,          0.00038286,          0.00038286,          0.00038286
                 104,            0.016521,           0.0051543,           0.0010388,              0.9554,              0.9892,               0.995,             0.68366,            0.025903,           0.0035534,           0.0015325,          0.00028857,          0.00028857,          0.00028857
